date,day_type
2024-10-08,A Day
2024-10-09,B Day
2024-10-10,A Day
2024-10-11,B Day
2024-10-12,Weekend
2024-10-13,Weekend
2024-10-14,Holiday
2024-10-15,Holiday
2024-10-16,Holiday
2024-10-17,Holiday
2024-10-18,Holiday
2024-10-19,Weekend
2024-10-20,Weekend
2024-10-21,A Day
2024-10-22,B Day
2024-10-23,A Day
2024-10-24,B Day
2024-10-25,A Day
2024-10-26,Weekend
2024-10-27,Weekend
2024-10-28,B Day
2024-10-29,A Day
2024-10-30,B Day
2024-10-31,A Day
2024-11-01,B Day
2024-11-02,Weekend
2024-11-03,Weekend
2024-11-09,Weekend
2024-11-10,Weekend
2024-11-16,Weekend
2024-11-17,Weekend
2024-11-23,Weekend
2024-11-24,Weekend
2024-11-30,Weekend
2024-12-01,Weekend
2024-12-07,Weekend
2024-12-08,Weekend
2024-12-14,Weekend
2024-12-15,Weekend
2024-12-21,Weekend
2024-12-22,Weekend
2024-12-28,Weekend
2024-12-29,Weekend
2025-01-04,Weekend
2025-01-05,Weekend
2025-01-11,Weekend
2025-01-12,Weekend
2025-01-18,Weekend
2025-01-19,Weekend
2025-01-25,Weekend
2025-01-26,Weekend
2025-02-01,Weekend
2025-02-02,Weekend
2025-02-08,Weekend
2025-02-09,Weekend
2025-02-15,Weekend
2025-02-16,Weekend
2025-02-22,Weekend
2025-02-23,Weekend
2025-03-01,Weekend
2025-03-02,Weekend
2025-03-08,Weekend
2025-03-09,Weekend
2025-03-15,Weekend
2025-03-16,Weekend
2025-03-22,Weekend
2025-03-23,Weekend
2025-03-29,Weekend
2025-03-30,Weekend
2025-04-05,Weekend
2025-04-06,Weekend
2025-04-12,Weekend
2025-04-13,Weekend
2025-04-19,Weekend
2025-04-20,Weekend
2025-04-26,Weekend
2025-04-27,Weekend
2025-05-03,Weekend
2025-05-04,Weekend
2025-05-10,Weekend
2025-05-11,Weekend
2025-05-17,Weekend
2025-05-18,Weekend
2025-05-24,Weekend
2025-05-25,Weekend
2025-05-31,Weekend
2025-06-01,Weekend
2025-06-07,Weekend
2025-06-08,Weekend
2025-06-14,Weekend
2025-06-15,Weekend
2025-06-21,Weekend
2025-06-22,Weekend
2025-06-28,Weekend
2025-06-29,Weekend
2024-11-01,B Day
2024-11-04,Holiday
2024-11-05,Holiday
2024-11-06,A Day
2024-11-07,B Day
2024-11-08,A Day
2024-11-11,B Day
2024-11-12,A Day
2024-11-13,B Day
2024-11-14,A Day
2024-11-15,B Day
2024-11-18,A Day
2024-11-19,B Day
2024-11-20,A Day
2024-11-21,B Day
2024-11-22,A Day
2024-11-25,Holiday
2024-11-26,Holiday
2024-11-27,Holiday
2024-11-28,Holiday
2024-11-29,Holiday
2024-12-02,B Day
2024-12-03,A Day
2024-12-04,B Day
2024-12-05,A Day
2024-12-06,B Day
2024-12-09,A Day
2024-12-10,B Day
2024-12-11,A Day
2024-12-12,B Day
2024-12-13,A Day
2024-12-16,B Day
2024-12-17,A Day
2024-12-18,B Day
2024-12-19,A Day
2024-12-20,B Day
2024-12-23,Holiday
2024-12-24,Holiday
2024-12-25,Holiday
2024-12-26,Holiday
2024-12-27,Holiday
2025-01-01,Holiday
2025-01-02,Holiday
2025-01-03,Holiday
2025-01-06,Holiday
2025-01-07,A Day
2025-01-08,B Day
2025-01-09,A Day
2025-01-10,B Day
2025-01-13,A Day
2025-01-14,B Day
2025-01-15,A Day
2025-01-16,B Day
2025-01-17,A Day
2025-01-20,Holiday
2025-01-21,B Day
2025-01-22,A Day
2025-01-23,B Day
2025-01-24,A Day
2025-01-27,B Day
2025-01-28,A Day
2025-01-29,B Day
2025-01-30,A Day
2025-01-31,B Day
2025-02-03,Holiday
2025-02-04,A Day
2025-02-05,B Day
2025-02-06,A Day
2025-02-07,B Day
2025-02-10,A Day
2025-02-11,B Day
2025-02-12,A Day
2025-02-13,B Day
2025-02-17,Holiday
2025-02-18,B Day
2025-02-19,A Day
2025-02-20,B Day
2025-02-21,A Day
2025-02-24,B Day
2025-02-25,A Day
2025-02-26,B Day
2025-02-27,A Day
2025-02-28,B Day
2025-03-03,Holiday
2025-03-04,A Day
2025-03-05,B Day
2025-03-06,A Day
2025-03-07,B Day
2025-03-10,A Day
2025-03-11,B Day
2025-03-12,A Day
2025-03-13,B Day
2025-03-14,A Day
2025-03-17,Holiday
2025-03-18,Holiday
2025-03-19,Holiday
2025-03-20,Holiday
2025-03-21,Holiday
2025-03-24,B Day
2025-03-25,A Day
2025-03-26,B Day
2025-03-27,A Day
2025-03-28,B Day
2025-03-31,A Day
2025-04-01,B Day
2025-04-02,A Day
2025-04-03,B Day
2025-04-04,A Day
2025-04-07,B Day
2025-04-08,A Day
2025-04-09,B Day
2025-04-10,A Day
2025-04-11,B Day
2025-04-14,A Day
2025-04-15,B Day
2025-04-16,A Day
2025-04-17,B Day
2025-04-18,Holiday
2025-04-21,A Day
2025-04-22,B Day
2025-04-23,A Day
2025-04-24,B Day
2025-04-25,A Day
2025-04-28,B Day
2025-04-29,A Day
2025-04-30,B Day
2025-05-01,A Day
2025-05-02,B Day
2025-05-05,A Day
2025-05-06,B Day
2025-05-07,A Day
2025-05-08,B Day
2025-05-09,A Day
2025-05-12,B Day
2025-05-13,A Day
2025-05-14,B Day
2025-05-15,A Day
2025-05-16,B Day
2025-05-19,A Day
2025-05-20,B Day
2025-05-21,A Day
2025-05-22,B Day
2025-05-23,A Day
2025-05-26,Holiday
2025-05-27,B Day
2025-05-28,A Day
2025-05-29,B Day
2025-05-30,Holiday
